COUNTRY,IMDB,CODE
Afghanistan,7.4,AFG
Argentina,7.6,ARG
Aruba,4.8,ABW
Australia,6.467,AUS
Belgium,6.7,BEL
Brazil,7.76,BRA
Canada,6.197,CAN
Chile,6.9,CHL
China,7.014,CHN
Colombia,7.5,COL
Czech Republic,6.967,CZE
Denmark,7.233,DNK
Finland,7.2,FIN
France,6.776,FRA
Georgia,5.6,GEO
Germany,6.299,DEU
Greece,6.7,GRC
Hong Kong,6.885,HKG
Hungary,6.45,HUN
Iceland,6.9,ISL
India,6.731,IND
Indonesia,7.6,IDN
Iran,7.725,IRN
Ireland,6.986,IRL
Israel,7.5,ISR
Italy,7.345,ITA
Japan,6.959,JPN
"Korea, South",6.563,KOR
Mexico,6.991,MEX
Netherlands,7.567,NLD
New Zealand,7.544,NZL
Norway,7.15,NOR
Peru,5.4,PER
Philippines,6.3,PHL
Poland,5.1,POL
Romania,6.4,ROU
Russia,6.467,RUS
South Africa,7.433,ZAF
Spain,6.973,ESP
Sweden,7.6,SWE
Taiwan,7.15,TWN
Thailand,6.4,THA
United Kingdom,6.838,GBR
United States,6.387,USA
USA,7.7,
USA,8.2,
USA,7.2,
USA,8.1,
USA,6.7,
USA,6.8,
UK,6.7,
USA,5.9,
USA,8.1,
UK,8,
USA,7,
USA,4.1,
USA,5.8,
USA,6.9,
USA,7.3,
USA,8,
USA,6.7,
USA,6.4,
USA,8,
USA,5.8,
USA,7,
USA,8.5,
USA,7.2,
USA,8,
USA,6,
USA,6,
USA,6.1,
USA,6.6,
USA,6.9,
USA,7.9,
USA,6,
UK,6.1,
USA,8.3,
USA,6.6,
USA,6.8,
USA,6.4,
USA,7.4,
USA,6.9,
USA,6.6,
USA,6.1,
USA,6.1,
USA,6.8,
USA,7.3,
USA,6.4,
Australia,8.1,
USA,7.3,
USA,4.9,
USA,5.5,
USA,6.7,
USA,6.4,
USA,7,
USA,6.4,
USA,6.1,
USA,5.8,
USA,7.3,
USA,6.4,
USA,6.7,
USA,7.6,
USA,7,
USA,5.5,
USA,7.3,
USA,7.1,
USA,6.6,
USA,7.2,
USA,8.2,
USA,7.7,
USA,7.8,
USA,7.2,
USA,7.2,
USA,6.4,
France,7.9,
USA,6.4,
Australia,7.3,
USA,7.1,
USA,6.7,
USA,6.7,
USA,5.3,
USA,6.3,
USA,7,
USA,7.2,
USA,7.5,
USA,7.1,
USA,5.5,
USA,6.6,
USA,7.6,
USA,6.6,
USA,7.6,
UK,8,
USA,5.8,
USA,6.4,
USA,6.1,
USA,6.2,
Germany,5.9,
France,6.3,
Australia,6.7,
USA,5.5,
UK,8,
USA,5.8,
USA,7.2,
USA,6.6,
USA,8.3,
UK,8.1,
USA,6.8,
USA,6.5,
USA,7.5,
USA,6.4,
USA,8.5,
USA,6.6,
USA,7.7,
USA,5.8,
USA,6.7,
USA,9.2,
USA,6.7,
USA,7.2,
USA,6.8,
USA,5.7,
USA,7.3,
USA,6.2,
USA,7.4,
USA,5.4,
USA,6.9,
USA,6.7,
USA,7.2,
USA,4.4,
USA,6.7,
USA,5.5,
USA,8.5,
USA,5.7,
USA,7.8,
USA,7.7,
USA,5.6,
USA,4.2,
USA,6.4,
USA,5.7,
USA,8.6,
USA,4.8,
USA,7.5,
USA,6.5,
USA,7.2,
USA,7.8,
USA,8.4,
USA,6.3,
USA,6.6,
USA,5.6,
USA,7.3,
USA,7.7,
USA,6.3,
Taiwan,7.9,
USA,6,
USA,8.1,
USA,7.1,
USA,7.8,
USA,6.1,
USA,7.3,
USA,5.9,
USA,7.1,
UK,6.4,
USA,6.3,
USA,6.2,
France,6.4,
USA,7,
USA,5.8,
USA,6.8,
USA,6.6,
USA,8.1,
USA,7.3,
